data,label
2g1c,1
2 girls 1 cup,1
acrotomophilia,1
alabama hot pocket,1
alaskan pipeline,1
anal,1
anilingus,1
anus,1
apeshit,1
arsehole,1
ass,1
asshole,1
assmunch,1
auto erotic,1
autoerotic,1
babeland,1
baby batter,1
baby juice,1
ball gag,1
ball gravy,1
ball kicking,1
ball licking,1
ball sack,1
ball sucking,1
bangbros,1
bangbus,1
bareback,1
barely legal,1
barenaked,1
bastard,1
bastardo,1
bastinado,1
bbw,1
bdsm,1
beaner,1
beaners,1
beaver cleaver,1
beaver lips,1
beastiality,1
bestiality,1
big black,1
big breasts,1
big knockers,1
big tits,1
bimbos,1
birdlock,1
bitch,1
bitches,1
black cock,1
blonde action,1
blonde on blonde action,1
blowjob,1
blow job,1
blow your load,1
blue waffle,1
blumpkin,1
bollocks,1
bondage,1
boner,1
boob,1
boobs,1
booty call,1
brown showers,1
brunette action,1
bukkake,1
bulldyke,1
bullet vibe,1
bullshit,1
bung hole,1
bunghole,1
busty,1
butt,1
buttcheeks,1
butthole,1
camel toe,1
camgirl,1
camslut,1
camwhore,1
carpet muncher,1
carpetmuncher,1
chocolate rosebuds,1
cialis,1
circlejerk,1
cleveland steamer,1
clit,1
clitoris,1
clover clamps,1
clusterfuck,1
cock,1
cocks,1
coprolagnia,1
coprophilia,1
cornhole,1
coon,1
coons,1
creampie,1
cum,1
cumming,1
cumshot,1
cumshots,1
cunnilingus,1
cunt,1
darkie,1
date rape,1
daterape,1
deep throat,1
deepthroat,1
dendrophilia,1
dick,1
dildo,1
dingleberry,1
dingleberries,1
dirty pillows,1
dirty sanchez,1
doggie style,1
doggiestyle,1
doggy style,1
doggystyle,1
dog style,1
dolcett,1
domination,1
dominatrix,1
dommes,1
donkey punch,1
double dong,1
double penetration,1
dp action,1
dry hump,1
dvda,1
eat my ass,1
ecchi,1
ejaculation,1
erotic,1
erotism,1
escort,1
eunuch,1
fag,1
faggot,1
fecal,1
felch,1
fellatio,1
feltch,1
female squirting,1
femdom,1
figging,1
fingerbang,1
fingering,1
fisting,1
foot fetish,1
footjob,1
frotting,1
fuck,1
fuck buttons,1
fuckin,1
fucking,1
fucktards,1
fudge packer,1
fudgepacker,1
futanari,1
gangbang,1
gang bang,1
gay sex,1
genitals,1
giant cock,1
girl on,1
girl on top,1
girls gone wild,1
goatcx,1
goatse,1
god damn,1
gokkun,1
golden shower,1
goodpoop,1
goo girl,1
goregasm,1
grope,1
group sex,1
g-spot,1
guro,1
hand job,1
handjob,1
hard core,1
hardcore,1
hentai,1
homoerotic,1
honkey,1
hooker,1
horny,1
hot carl,1
hot chick,1
how to kill,1
how to murder,1
huge fat,1
huge,0
humping,1
incest,1
intercourse,1
jack off,1
jack,0
jail bait,1
jail,0
bait,0
jailbait,1
jelly donut,1
jelly,0
donut,0
jerk off,1
jigaboo,1
jiggaboo,1
jiggerboo,1
jizz,1
juggs,1
jug,0
kike,1
kinbaku,1
kinkster,1
kinky,1
knobbing,1
leather restraint,1
leather,0
jacket,0
leather straight jacket,1
lemon,0
party,0
lemon party,1
livesex,1
live,0
lolita,1
lovemaking,1
love,0
make,0
make me come,1
me,0
come,0
male,0
male squirting,1
masturbate,1
masturbating,1
masturbation,1
menage a trois,1
milf,1
mission,0
position,0
missionary position,1
mong,1
motherfucker,1
venus,0
mound of venus,1
mr hands,1
mr,0
hands,0
muff diver,1
diver,0
muffdiving,1
nambla,1
nawashi,1
negro,1
neonazi,1
nigga,1
nigger,1
nig nog,1
nimphomania,1
nipple,1
nipples,1
nsfw,1
nsfw images,1
nude,1
nudity,1
nutten,1
nympho,1
nymphomania,1
octopussy,1
omorashi,1
one cup two girls,1
girl,0
cup,0
one,0
guy,0
jar,0
one guy one jar,1
orgasm,1
orgy,1
paedophile,1
paki,1
panties,1
panty,1
pedobear,1
pedophile,1
pegging,1
penis,1
phone sex,1
piece of shit,1
pikey,1
pissing,1
piss pig,1
pisspig,1
playboy,1
play,0
boy,0
pleasure chest,1
chest,0
pole smoker,1
pole,0
ponyplay,1
pony,0
poof,1
poon,1
poontang,1
punany,1
poop chute,1
poopchute,1
porn,1
porno,1
pornography,1
prince albert piercing,1
pthc,1
pubes,1
pussy,1
queaf,1
queef,1
quim,1
raghead,1
rag,0
head,0
raging boner,1
rape,1
raping,1
rapist,1
rectum,1
reverse cowgirl,1
rimjob,1
rimming,1
rosy palm,1
rosy palm and her 5 sisters,1
palm,0
5,0
sister,0
rusty trombone,1
rusty,0
sadism,1
santorum,1
scat,1
schlong,1
scissoring,1
scissor,0
semen,1
sex,1
sexcam,1
sexo,1
sexy,1
sexual,1
sexually,1
sexuality,1
shaved beaver,1
shave,0
beaver,0
shaved pussy,1
shemale,1
shibari,1
shit,1
shitblimp,1
shitty,1
shota,1
shrimping,1
skeet,1
slanteye,1
slut,1
s&m,1
smut,1
snatch,1
snowballing,1
sodomize,1
sodomy,1
spastic,1
spic,1
splooge,1
splooge moose,1
spooge,1
spread legs,1
spread,0
leg,0
spunk,1
strap on,1
on,0
strapon,1
strappado,1
strip club,1
club,0
dog,0
style doggy,1
suck,1
sucks,1
suicide girls,1
sultry women,1
swastika,1
swinger,1
tainted love,1
taint,0
tea bagging,1
tea,0
bag,0
threesome,1
throating,1
throat,0
thumbzilla,1
thumb,0
tied up,1
tie,0
up,0
tight white,1
white,0
tit,1
tits,1
titties,1
titty,1
tongue in a,1
topless,1
tosser,1
towelhead,1
tranny,1
tribadism,1
tub girl,1
girl,0
tubgirl,1
tub,0
tushy,1
twat,1
twink,1
twinkie,1
two girls one cup,1
cup,0
undressing,1
upskirt,1
urethra play,1
urophilia,1
vagina,1
venus mound,1
viagra,1
vibrator,1
violet wand,1
wand,0
vorarephilia,1
voyeur,1
voyeurweb,1
voyuer,1
vulva,1
wank,1
wetback,1
wet dream,1
wet,0
dream,0
white power,1
white,0
whore,1
worldsex,1
world,0
wrapping men,1
men,0
star,0
fish,0
wrinkled starfish,1
xx,1
xxx,1
yaoi,1
yellow,0
shower,0
yellow showers,1
yiffy,1
zoophilia,1
🖕,1
zoo,0
